indicator,market,destination,units,period_date,value
Airseat,"All Domestic, Charters",Kona,number,2016-07-01,0.0
Airseat,"All Domestic, Charters",Hilo,number,2016-07-01,156.0
Airseat,"All Domestic, Charters",Lihue,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2016-07-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2016-07-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2016-07-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2016-07-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2016-07-01,
Airseat,"All Int'l, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2016-07-01,
Airseat,"All Int'l, Charters",Honolulu,number,2016-07-01,
Airseat,"All Int'l, Charters",Kahului,number,2016-07-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2016-07-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2016-07-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2016-07-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"US West, Scheduled",Honolulu,number,2016-07-01,
Airseat,"US West, Scheduled",Kahului,number,2016-07-01,
Airseat,"US West, Scheduled",Kona,number,2016-07-01,
Airseat,"US West, Scheduled",Hilo,number,2016-07-01,
Airseat,"US West, Scheduled",Lihue,number,2016-07-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"US East, Scheduled",Honolulu,number,2016-07-01,
Airseat,"US East, Scheduled",Kahului,number,2016-07-01,
Airseat,"US East, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"US East, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"US East, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"Japan, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"Japan, Scheduled",Honolulu,number,2016-07-01,
Airseat,"Japan, Scheduled",Kahului,number,2016-07-01,0.0
Airseat,"Japan, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"Japan, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"Japan, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"Canada, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"Canada, Scheduled",Honolulu,number,2016-07-01,
Airseat,"Canada, Scheduled",Kahului,number,2016-07-01,
Airseat,"Canada, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"Canada, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"Canada, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"Other Asia, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"Other Asia, Scheduled",Honolulu,number,2016-07-01,
Airseat,"Other Asia, Scheduled",Kahului,number,2016-07-01,0.0
Airseat,"Other Asia, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"Other Asia, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"Other Asia, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"Oceania, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"Oceania, Scheduled",Honolulu,number,2016-07-01,
Airseat,"Oceania, Scheduled",Kahului,number,2016-07-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2016-07-01,
Airseat,"Other, Scheduled",Honolulu,number,2016-07-01,
Airseat,"Other, Scheduled",Kahului,number,2016-07-01,0.0
Airseat,"Other, Scheduled",Kona,number,2016-07-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2016-07-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2016-07-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2016-08-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2016-08-01,
Airseat,"All, Scheduled & Charters",Kona,number,2016-08-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2016-08-01,
Airseat,"All, Scheduled & Charters",Lihue,number,2016-08-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"All, Scheduled",Honolulu,number,2016-08-01,
Airseat,"All, Scheduled",Kahului,number,2016-08-01,
Airseat,"All, Scheduled",Kona,number,2016-08-01,
Airseat,"All, Scheduled",Hilo,number,2016-08-01,
Airseat,"All, Scheduled",Lihue,number,2016-08-01,
Airseat,"All, Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All, Charters",Honolulu,number,2016-08-01,
Airseat,"All, Charters",Kahului,number,2016-08-01,0.0
Airseat,"All, Charters",Kona,number,2016-08-01,0.0
Airseat,"All, Charters",Hilo,number,2016-08-01,0.0
Airseat,"All, Charters",Lihue,number,2016-08-01,0.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2016-08-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2016-08-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2016-08-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2016-08-01,
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2016-08-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2016-08-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2016-08-01,
Airseat,"All Domestic, Scheduled",Kona,number,2016-08-01,
Airseat,"All Domestic, Scheduled",Hilo,number,2016-08-01,
Airseat,"All Domestic, Scheduled",Lihue,number,2016-08-01,
Airseat,"All Domestic, Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All Domestic, Charters",Honolulu,number,2016-08-01,
Airseat,"All Domestic, Charters",Kahului,number,2016-08-01,0.0
Airseat,"All Domestic, Charters",Kona,number,2016-08-01,0.0
Airseat,"All Domestic, Charters",Hilo,number,2016-08-01,0.0
Airseat,"All Domestic, Charters",Lihue,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2016-08-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2016-08-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2016-08-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2016-08-01,
Airseat,"All Int'l, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2016-08-01,
Airseat,"All Int'l, Charters",Honolulu,number,2016-08-01,
Airseat,"All Int'l, Charters",Kahului,number,2016-08-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2016-08-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2016-08-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2016-08-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"US West, Scheduled",Honolulu,number,2016-08-01,
Airseat,"US West, Scheduled",Kahului,number,2016-08-01,
Airseat,"US West, Scheduled",Kona,number,2016-08-01,
Airseat,"US West, Scheduled",Hilo,number,2016-08-01,
Airseat,"US West, Scheduled",Lihue,number,2016-08-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"US East, Scheduled",Honolulu,number,2016-08-01,
Airseat,"US East, Scheduled",Kahului,number,2016-08-01,
Airseat,"US East, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"US East, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"US East, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"Japan, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"Japan, Scheduled",Honolulu,number,2016-08-01,
Airseat,"Japan, Scheduled",Kahului,number,2016-08-01,0.0
Airseat,"Japan, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"Japan, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"Japan, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"Canada, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"Canada, Scheduled",Honolulu,number,2016-08-01,
Airseat,"Canada, Scheduled",Kahului,number,2016-08-01,
Airseat,"Canada, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"Canada, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"Canada, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"Other Asia, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"Other Asia, Scheduled",Honolulu,number,2016-08-01,
Airseat,"Other Asia, Scheduled",Kahului,number,2016-08-01,0.0
Airseat,"Other Asia, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"Other Asia, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"Other Asia, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"Oceania, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"Oceania, Scheduled",Honolulu,number,2016-08-01,
Airseat,"Oceania, Scheduled",Kahului,number,2016-08-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2016-08-01,
Airseat,"Other, Scheduled",Honolulu,number,2016-08-01,
Airseat,"Other, Scheduled",Kahului,number,2016-08-01,0.0
Airseat,"Other, Scheduled",Kona,number,2016-08-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2016-08-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2016-08-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2016-09-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2016-09-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2016-09-01,
Airseat,"All, Scheduled & Charters",Kona,number,2016-09-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2016-09-01,
Airseat,"All, Scheduled & Charters",Lihue,number,2016-09-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"All, Scheduled",Honolulu,number,2016-09-01,
Airseat,"All, Scheduled",Kahului,number,2016-09-01,
Airseat,"All, Scheduled",Kona,number,2016-09-01,
Airseat,"All, Scheduled",Hilo,number,2016-09-01,
Airseat,"All, Scheduled",Lihue,number,2016-09-01,
Airseat,"All, Charters",All airports in Hawaii,number,2016-09-01,
Airseat,"All, Charters",Honolulu,number,2016-09-01,
Airseat,"All, Charters",Kahului,number,2016-09-01,0.0
Airseat,"All, Charters",Kona,number,2016-09-01,215.0
Airseat,"All, Charters",Hilo,number,2016-09-01,0.0
Airseat,"All, Charters",Lihue,number,2016-09-01,0.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2016-09-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2016-09-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2016-09-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2016-09-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2016-09-01,
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2016-09-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2016-09-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2016-09-01,
Airseat,"All Domestic, Scheduled",Kona,number,2016-09-01,
Airseat,"All Domestic, Scheduled",Hilo,number,2016-09-01,
Airseat,"All Domestic, Scheduled",Lihue,number,2016-09-01,
Airseat,"All Domestic, Charters",All airports in Hawaii,number,2016-09-01,
Airseat,"All Domestic, Charters",Honolulu,number,2016-09-01,
Airseat,"All Domestic, Charters",Kahului,number,2016-09-01,0.0
Airseat,"All Domestic, Charters",Kona,number,2016-09-01,215.0
Airseat,"All Domestic, Charters",Hilo,number,2016-09-01,0.0
Airseat,"All Domestic, Charters",Lihue,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2016-09-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2016-09-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2016-09-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2016-09-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2016-09-01,
Airseat,"All Int'l, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2016-09-01,805.0
Airseat,"All Int'l, Charters",Honolulu,number,2016-09-01,805.0
Airseat,"All Int'l, Charters",Kahului,number,2016-09-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2016-09-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2016-09-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2016-09-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"US West, Scheduled",Honolulu,number,2016-09-01,
Airseat,"US West, Scheduled",Kahului,number,2016-09-01,
Airseat,"US West, Scheduled",Kona,number,2016-09-01,
Airseat,"US West, Scheduled",Hilo,number,2016-09-01,
Airseat,"US West, Scheduled",Lihue,number,2016-09-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"US East, Scheduled",Honolulu,number,2016-09-01,
Airseat,"US East, Scheduled",Kahului,number,2016-09-01,
Airseat,"US East, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"US East, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"US East, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"Japan, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"Japan, Scheduled",Honolulu,number,2016-09-01,
Airseat,"Japan, Scheduled",Kahului,number,2016-09-01,0.0
Airseat,"Japan, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"Japan, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"Japan, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"Canada, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"Canada, Scheduled",Honolulu,number,2016-09-01,
Airseat,"Canada, Scheduled",Kahului,number,2016-09-01,
Airseat,"Canada, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"Canada, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"Canada, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"Other Asia, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"Other Asia, Scheduled",Honolulu,number,2016-09-01,
Airseat,"Other Asia, Scheduled",Kahului,number,2016-09-01,0.0
Airseat,"Other Asia, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"Other Asia, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"Other Asia, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"Oceania, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"Oceania, Scheduled",Honolulu,number,2016-09-01,
Airseat,"Oceania, Scheduled",Kahului,number,2016-09-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2016-09-01,
Airseat,"Other, Scheduled",Honolulu,number,2016-09-01,
Airseat,"Other, Scheduled",Kahului,number,2016-09-01,0.0
Airseat,"Other, Scheduled",Kona,number,2016-09-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2016-09-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2016-09-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2016-10-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2016-10-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2016-10-01,
Airseat,"All, Scheduled & Charters",Kona,number,2016-10-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2016-10-01,
Airseat,"All, Scheduled & Charters",Lihue,number,2016-10-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"All, Scheduled",Honolulu,number,2016-10-01,
Airseat,"All, Scheduled",Kahului,number,2016-10-01,
Airseat,"All, Scheduled",Kona,number,2016-10-01,
Airseat,"All, Scheduled",Hilo,number,2016-10-01,
Airseat,"All, Scheduled",Lihue,number,2016-10-01,
Airseat,"All, Charters",All airports in Hawaii,number,2016-10-01,
Airseat,"All, Charters",Honolulu,number,2016-10-01,
Airseat,"All, Charters",Kahului,number,2016-10-01,0.0
Airseat,"All, Charters",Kona,number,2016-10-01,0.0
Airseat,"All, Charters",Hilo,number,2016-10-01,0.0
Airseat,"All, Charters",Lihue,number,2016-10-01,362.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2016-10-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2016-10-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2016-10-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2016-10-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2016-10-01,
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2016-10-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2016-10-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2016-10-01,
Airseat,"All Domestic, Scheduled",Kona,number,2016-10-01,
Airseat,"All Domestic, Scheduled",Hilo,number,2016-10-01,
Airseat,"All Domestic, Scheduled",Lihue,number,2016-10-01,
Airseat,"All Domestic, Charters",All airports in Hawaii,number,2016-10-01,
Airseat,"All Domestic, Charters",Honolulu,number,2016-10-01,
Airseat,"All Domestic, Charters",Kahului,number,2016-10-01,0.0
Airseat,"All Domestic, Charters",Kona,number,2016-10-01,0.0
Airseat,"All Domestic, Charters",Hilo,number,2016-10-01,0.0
Airseat,"All Domestic, Charters",Lihue,number,2016-10-01,362.0
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2016-10-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2016-10-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2016-10-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2016-10-01,168.0
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2016-10-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2016-10-01,168.0
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2016-10-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2016-10-01,
Airseat,"All Int'l, Scheduled",Kona,number,2016-10-01,168.0
Airseat,"All Int'l, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2016-10-01,168.0
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2016-10-01,440.0
Airseat,"All Int'l, Charters",Honolulu,number,2016-10-01,440.0
Airseat,"All Int'l, Charters",Kahului,number,2016-10-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2016-10-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2016-10-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2016-10-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"US West, Scheduled",Honolulu,number,2016-10-01,
Airseat,"US West, Scheduled",Kahului,number,2016-10-01,
Airseat,"US West, Scheduled",Kona,number,2016-10-01,
Airseat,"US West, Scheduled",Hilo,number,2016-10-01,
Airseat,"US West, Scheduled",Lihue,number,2016-10-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"US East, Scheduled",Honolulu,number,2016-10-01,
Airseat,"US East, Scheduled",Kahului,number,2016-10-01,
Airseat,"US East, Scheduled",Kona,number,2016-10-01,0.0
Airseat,"US East, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"US East, Scheduled",Lihue,number,2016-10-01,0.0
Airseat,"Japan, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"Japan, Scheduled",Honolulu,number,2016-10-01,
Airseat,"Japan, Scheduled",Kahului,number,2016-10-01,0.0
Airseat,"Japan, Scheduled",Kona,number,2016-10-01,0.0
Airseat,"Japan, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"Japan, Scheduled",Lihue,number,2016-10-01,0.0
Airseat,"Canada, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"Canada, Scheduled",Honolulu,number,2016-10-01,
Airseat,"Canada, Scheduled",Kahului,number,2016-10-01,
Airseat,"Canada, Scheduled",Kona,number,2016-10-01,168.0
Airseat,"Canada, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"Canada, Scheduled",Lihue,number,2016-10-01,168.0
Airseat,"Other Asia, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"Other Asia, Scheduled",Honolulu,number,2016-10-01,
Airseat,"Other Asia, Scheduled",Kahului,number,2016-10-01,0.0
Airseat,"Other Asia, Scheduled",Kona,number,2016-10-01,0.0
Airseat,"Other Asia, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"Other Asia, Scheduled",Lihue,number,2016-10-01,0.0
Airseat,"Oceania, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"Oceania, Scheduled",Honolulu,number,2016-10-01,
Airseat,"Oceania, Scheduled",Kahului,number,2016-10-01,0.0
Airseat,"Oceania, Scheduled",Kona,number,2016-10-01,0.0
Airseat,"Oceania, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"Oceania, Scheduled",Lihue,number,2016-10-01,0.0
Airseat,"Other, Scheduled",All airports in Hawaii,number,2016-10-01,
Airseat,"Other, Scheduled",Honolulu,number,2016-10-01,
Airseat,"Other, Scheduled",Kahului,number,2016-10-01,0.0
Airseat,"Other, Scheduled",Kona,number,2016-10-01,0.0
Airseat,"Other, Scheduled",Hilo,number,2016-10-01,0.0
Airseat,"Other, Scheduled",Lihue,number,2016-10-01,0.0
Airseat,"All, Scheduled & Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All, Scheduled & Charters",Honolulu,number,2016-11-01,
Airseat,"All, Scheduled & Charters",Kahului,number,2016-11-01,
Airseat,"All, Scheduled & Charters",Kona,number,2016-11-01,
Airseat,"All, Scheduled & Charters",Hilo,number,2016-11-01,
Airseat,"All, Scheduled & Charters",Lihue,number,2016-11-01,
Airseat,"All, Scheduled",All airports in Hawaii,number,2016-11-01,
Airseat,"All, Scheduled",Honolulu,number,2016-11-01,
Airseat,"All, Scheduled",Kahului,number,2016-11-01,
Airseat,"All, Scheduled",Kona,number,2016-11-01,
Airseat,"All, Scheduled",Hilo,number,2016-11-01,
Airseat,"All, Scheduled",Lihue,number,2016-11-01,
Airseat,"All, Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All, Charters",Honolulu,number,2016-11-01,
Airseat,"All, Charters",Kahului,number,2016-11-01,181.0
Airseat,"All, Charters",Kona,number,2016-11-01,0.0
Airseat,"All, Charters",Hilo,number,2016-11-01,0.0
Airseat,"All, Charters",Lihue,number,2016-11-01,185.0
Airseat,"All Domestic, Scheduled & Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All Domestic, Scheduled & Charters",Honolulu,number,2016-11-01,
Airseat,"All Domestic, Scheduled & Charters",Kahului,number,2016-11-01,
Airseat,"All Domestic, Scheduled & Charters",Kona,number,2016-11-01,
Airseat,"All Domestic, Scheduled & Charters",Hilo,number,2016-11-01,
Airseat,"All Domestic, Scheduled & Charters",Lihue,number,2016-11-01,
Airseat,"All Domestic, Scheduled",All airports in Hawaii,number,2016-11-01,
Airseat,"All Domestic, Scheduled",Honolulu,number,2016-11-01,
Airseat,"All Domestic, Scheduled",Kahului,number,2016-11-01,
Airseat,"All Domestic, Scheduled",Kona,number,2016-11-01,
Airseat,"All Domestic, Scheduled",Hilo,number,2016-11-01,
Airseat,"All Domestic, Scheduled",Lihue,number,2016-11-01,
Airseat,"All Domestic, Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All Domestic, Charters",Honolulu,number,2016-11-01,
Airseat,"All Domestic, Charters",Kahului,number,2016-11-01,181.0
Airseat,"All Domestic, Charters",Kona,number,2016-11-01,0.0
Airseat,"All Domestic, Charters",Hilo,number,2016-11-01,0.0
Airseat,"All Domestic, Charters",Lihue,number,2016-11-01,185.0
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2016-11-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2016-11-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2016-11-01,
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2016-11-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2016-11-01,
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2016-11-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2016-11-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2016-11-01,
Airseat,"All Int'l, Scheduled",Kona,number,2016-11-01,
Airseat,"All Int'l, Scheduled",Hilo,number,2016-11-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2016-11-01,
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2016-11-01,
Airseat,"All Int'l, Charters",Honolulu,number,2016-11-01,
Airseat,"All Int'l, Charters",Kahului,number,2016-11-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2016-11-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2016-11-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2016-11-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2016-11-01,
Airseat,"US West, Scheduled",Honolulu,number,2016-11-01,
Airseat,"US West, Scheduled",Kahului,number,2016-11-01,
Airseat,"US West, Scheduled",Kona,number,2016-11-01,
Airseat,"US West, Scheduled",Hilo,number,2016-11-01,
Airseat,"US West, Scheduled",Lihue,number,2016-11-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2016-11-01,
